id,visitor_id,session_id,chat_id,assistant_message_count,chat_history_length,user_message_count,geo_country_code,created_at
1d0e0af3-38ab-40d7-8534-19bac2b540c1,b3bc63af-d1ac-46e0-9d58-82051ed194ee,4533329a-ad9e-4d7c-80f3-d408cc910e2d,6,1,2,1,US,2026-02-01 22:51:18
c046f711-f71c-4667-b208-5e339a679383,a346a318-0082-4b40-a576-defc7afde86d,15be92e4-4105-445e-83e2-49cc0a994832,1,4,8,4,EG,2026-02-08 12:02:19
e95375ac-1303-4b81-a958-d74856261dc8,a346a318-0082-4b40-a576-defc7afde86d,15be92e4-4105-445e-83e2-49cc0a994832,1,5,10,5,EG,2026-02-08 12:04:12
904ebc91-0f5d-4597-a96a-6d90ac4a17be,965a51f5-e08e-4ce6-b252-90b12d437bf8,dcaf4e82-b1b6-47f9-9bcf-0e422b86fd88,5,1,2,1,US,2026-02-08 14:00:38
8064bc6c-4334-4ec9-b562-d9e20f8c92e6,anon_7388f1a5-630e-4890-9c16-5235272a1b99,6fd149b5-6c78-4397-878d-a31067428d9a,1,2,4,2,FR,2026-02-25 02:36:40
b67bbf83-75b7-460f-a27d-5ab98fcf4791,anon_7388f1a5-630e-4890-9c16-5235272a1b99,6fd149b5-6c78-4397-878d-a31067428d9a,1,5,10,5,FR,2026-02-25 02:40:57
9427e522-6e13-4902-8280-e1af11ff8cc8,5cb59d4a-d9ec-4a72-a92c-117d88350652,ed7291c9-919d-4d2e-bf04-8c457728d243,3,1,2,1,RS,2026-02-09 17:12:04
f721cf63-482f-4945-ac81-904953eadb59,ee89a64d-d3c8-4c7a-aefd-314adafb1764,cc3e73ab-c6f0-4dbf-ad15-b09d94398c34,3,1,2,1,CZ,2026-02-27 19:47:34
ade1bf94-882e-49a4-9c54-c9f4318025ae,ee89a64d-d3c8-4c7a-aefd-314adafb1764,cc3e73ab-c6f0-4dbf-ad15-b09d94398c34,3,2,4,2,CZ,2026-02-27 19:47:45
20b3e4ff-ff96-4b65-8264-c12263d06ad9,b595fdba-357c-4f31-9716-53c21554e677,00cef51b-5d5b-4153-b867-b84bd8e897e6,1,5,10,5,CZ,2026-02-27 21:12:32
3e90860f-9c7a-463f-80b0-a3516c0e30ce,b986a572-bdea-42a3-a024-fc15bbd4f896,28bdb455-e6a3-46c3-8dd3-25362cbe7340,1,3,6,3,US,2026-02-02 11:33:17
719bae15-3bd4-49b3-9c8a-0f223752a0f5,b7db306a-9075-4ee7-a495-692d4f58f0c2,94bfde9c-f6b1-4182-8641-4180b6c72a09,31,1,2,1,FR,2026-02-02 15:19:25
e40c2e4e-58b0-46b6-9a4d-ad2ba7d1d7df,4086486f-b885-4a36-b79c-2dcb1060584c,db54548e-8cb1-436c-8db3-fbe26993c9ea,2,3,5,2,DE,2026-02-02 16:02:29
edd6601c-222b-4eed-866e-1bb2b43ade50,4086486f-b885-4a36-b79c-2dcb1060584c,db54548e-8cb1-436c-8db3-fbe26993c9ea,2,4,7,3,DE,2026-02-02 16:07:43
c69c356d-4b0e-4646-b0e8-b40b31de2ba2,b66b6f68-d459-49ba-81be-d046d484289e,c1fad696-a592-4d13-ac47-c3338c3bce6c,4,1,2,1,SY,2026-02-28 01:10:53
00d7e763-715b-4113-958e-6d52af12b5f5,anon_46b0376d-42fb-469e-a311-4de557e053ca,32755970-0953-4a25-8245-0549bbe3521d,4,1,2,1,CA,2026-02-28 02:53:56
117498d1-6be0-465e-8905-b82bd2245b91,90bb40db-50b9-4f2b-96d7-06ac5ddec8af,30cf6c6a-fa93-49e9-9af9-82b05c84f3f9,1,1,2,1,EG,2026-02-10 00:08:23
